Nice name, ID, Level, X, Z
"Gnome troop",5967,0,2507,3210
"Gnome troop",5967,0,2507,3211
"Gnome",5970,0,2508,3209
"Khazard trooper",5964,0,2509,3241
"Khazard commander",4972,0,2509,3254
"Tortoise",6076,0,2510,3203
"Gnome",5970,0,2510,3209
"Gnome",5969,0,2511,3210
"Khazard trooper",5964,0,2511,3240
"Khazard trooper",5965,0,2512,3233
"Khazard trooper",5964,0,2512,3246
"Gnome",5970,0,2513,3216
"Khazard trooper",5964,0,2514,3235
"Lieutenant Schepbur",6100,0,2515,3205
"Gnome",5969,0,2515,3216
"Gnome",5969,0,2515,3230
"Khazard trooper",5965,0,2516,3236
"Khazard trooper",5964,0,2516,3246
"Gnome",5970,0,2517,3212
"Khazard trooper",5964,0,2517,3242
"Gnome",5970,0,2518,3217
"Khazard trooper",5964,0,2518,3248
"Khazard trooper",5964,0,2518,3255
"Tortoise",6076,0,2519,3204
"Gnome",5968,0,2519,3210
"Gnome",5969,0,2519,3212
"Khazard trooper",5964,0,2519,3244
"Khazard trooper",5964,0,2519,3248
"Gnome",5970,0,2520,3218
"Khazard trooper",5965,0,2520,3232
"Khazard trooper",5964,0,2520,3242
"Gnome",5969,0,2521,3218
"Gnome",5968,0,2522,3215
"Khazard trooper",5965,0,2522,3234
"Khazard trooper",5964,0,2522,3238
"Commander Montai",4964,0,2523,3211
"Gnome",5969,0,2524,3214
"Mounted terrorbird gnome",5972,0,2524,3234
"Tracker gnome 2",4976,0,2524,3257
"Gnome",5970,0,2525,3204
"Gnome",5970,0,2525,3221
"Gnome",5968,0,2526,3218
"Gnome",5968,0,2526,3226
"Gnome",5969,0,2527,3203
"Khazard trooper",5965,0,2527,3239
"Khazard trooper",5965,0,2528,3237
"Khazard trooper",5965,0,2528,3239
"Khazard trooper",5964,0,2528,3248
"Gnome",5969,0,2529,3218
"Gnome",5970,0,2529,3220
"Gnome troop",5966,0,2529,3225
"Gnome troop",5966,0,2529,3227
"Khazard trooper",5964,0,2529,3235
"Khazard trooper",5965,0,2529,3236
"Khazard trooper",5965,0,2529,3237
"Khazard trooper",5965,0,2529,3239
"Khazard trooper",5964,0,2529,3252
"Mounted terrorbird gnome",5973,0,2530,3217
"Gnome troop",5967,0,2530,3226
"Gnome troop",5967,0,2530,3227
"Khazard trooper",5964,0,2530,3235
"Gnome",5968,0,2531,3209
"Gnome",5968,0,2531,3210
"Gnome troop",5966,0,2531,3212
"Gnome troop",5967,0,2531,3227
"Khazard trooper",5964,0,2531,3235
"Khazard trooper",5965,0,2531,3243
"Gnome",5968,0,2532,3209
"Gnome",5968,0,2532,3210
"Gnome troop",5967,0,2532,3212
"Mounted terrorbird gnome",5971,0,2532,3217
"Gnome",5968,0,2532,3220
"Gnome troop",5966,0,2532,3225
"Gnome troop",5966,0,2532,3226
"Gnome troop",5967,0,2532,3227
"Khazard trooper",5965,0,2532,3244
"Gnome",5968,0,2533,3209
"Gnome",5968,0,2533,3210
"Gnome troop",5966,0,2533,3212
"Gnome troop",5967,0,2533,3226
"Gnome",5968,0,2534,3209
"Gnome",5968,0,2534,3210
"Gnome troop",5966,0,2534,3212
"Mounted terrorbird gnome",5972,0,2534,3217
"Gnome",5969,0,2534,3220
"Khazard trooper",5965,0,2534,3238
"Gnome",5968,0,2536,3209
"Gnome",5968,0,2536,3210
"Gnome troop",5967,0,2536,3212
"Gnome",5968,0,2536,3215
"Gnome",5970,0,2536,3218
"Gnome",5968,0,2536,3234
"Khazard trooper",5964,0,2536,3248
"Gnome",5968,0,2537,3209
"Gnome",5968,0,2537,3210
"Gnome troop",5966,0,2537,3212
"Mounted terrorbird gnome",5973,0,2537,3236
"Khazard trooper",5964,0,2537,3241
"Khazard trooper",5964,0,2537,3249
"Gnome",5968,0,2538,3209
"Gnome",5968,0,2538,3210
"Gnome troop",5966,0,2538,3212
"Khazard trooper",5965,0,2538,3241
"Gnome",5968,0,2539,3209
"Gnome",5968,0,2539,3210
"Gnome troop",5967,0,2539,3212
"Khazard trooper",5965,0,2539,3243
"Gnome",5970,0,2540,3219
"Gnome",5969,0,2540,3224
"Khazard trooper",5964,0,2541,3243
"Gnome",5968,0,2542,3222
"Gnome",5968,0,2543,3217
"Khazard trooper",5964,0,2543,3246
"Gnome",5969,0,2544,3225
"Khazard trooper",5965,0,2544,3247
"Gnome",5968,0,2545,3228
"Gnome",5968,0,2546,3211
"Gnome",5969,0,2547,3221
"Gnome",5970,0,2548,3227
"Gnome",5970,0,2550,3228
"Gnome",5970,0,2551,3222
"Gnome",5970,0,2551,3230
"Gnome",5970,0,2552,3232
"Gnome",5968,0,2553,3220
"Gnome",5970,0,2553,3224
"Gnome",5969,0,2554,3233
"Gnome",5969,0,2555,3225
"Gnome",6095,0,2556,3226
"Khazard commander",4972,1,2503,3255
"Bat",2827,0,3409,9637
"Giant bat",2834,0,3410,9632
"Bat",2827,0,3410,9640
"Giant bat",2834,0,3411,9620
"Bat",2827,0,3411,9644
"Bat",2827,0,3414,9643
"Giant bat",2834,0,3416,9620
"Bat",2827,0,3418,9642
"Bat",2827,0,3419,9646
"Bat",2827,0,3420,9631
"Animated spade",6470,0,3420,9657
"Bat",2827,0,3421,9629
"Bat",2827,0,3423,9625
"Possessed pickaxe",6469,0,3423,9658
"Giant bat",2834,0,3425,9637
"Skeleton",6448,0,3427,9644
"Skeleton",6448,0,3428,9658
"Animated spade",6470,0,3429,9648
"Bat",2827,0,3433,9638
"Bat",2827,0,3434,9636
"Bat",2827,0,3436,9636
"<col=00ffff>Boulder</col>",4543,0,2396,9595
"Crocodile",4184,0,3264,2886
"Jackal",4185,0,3265,2931
"Jackal",4185,0,3265,2935
"Crocodile",4184,0,3267,2891
"Crocodile",4184,0,3268,2881
"Jackal",4185,0,3268,2932
"Jackal",4185,0,3268,2935
"Crocodile",4184,0,3269,2885
"Crocodile",4184,0,3296,2912
"Crocodile",4184,0,3297,2919
"Crocodile",4184,0,3301,2920
"Crocodile",4184,0,3308,2916
"Jackal",4185,0,3316,2900
"Jackal",4185,0,3319,2897
"Jackal",4185,0,3320,2901
"Jackal",4185,0,3321,2899
"Kineer",7117,1,2568,9123
"Kurask",410,0,2694,9995
"Kurask",411,0,2694,9999
"Kurask",410,0,2698,9992
"Kurask",410,0,2699,10001
"Jelly",437,0,2699,10029
"Kurask",410,0,2701,9996
"Jelly",438,0,2701,10023
"Jelly",441,0,2701,10027
"Jelly",442,0,2703,10025
"Jelly",438,0,2703,10031
"Jelly",442,0,2704,10028
"Jelly",439,0,2706,10029
"Jelly",441,0,2708,10024
"Jelly",440,0,2708,10027
"Jelly",440,0,2711,10029
"Turoth",429,0,2717,10007
"Turoth",427,0,2718,10006
"Turoth",429,0,2718,10008
"Turoth",430,0,2719,10011
"Turoth",429,0,2720,10003
"Turoth",428,0,2721,10003
"Turoth",429,0,2721,10009
"Turoth",429,0,2721,10014
"Turoth",428,0,2722,10008
"Turoth",428,0,2723,9994
"Turoth",429,0,2723,10002
"Turoth",429,0,2723,10010
"Turoth",429,0,2724,9996
"Turoth",430,0,2724,10013
"Turoth",429,0,2725,9995
"Turoth",430,0,2725,10012
"Turoth",430,0,2726,10010
"Turoth",430,0,2726,10013
"Turoth",430,0,2727,9995
"Turoth",430,0,2727,10011
"Turoth",430,0,2728,9996
"Turoth",430,0,2728,9997
"Basilisk",417,0,2738,10008
"Basilisk",417,0,2740,10003
"Basilisk",417,0,2740,10014
"Basilisk",417,0,2742,10008
"Basilisk",417,0,2743,10018
"Basilisk",417,0,2745,10002
"Basilisk",417,0,2746,10006
"Basilisk",417,0,2746,10015
"Jelly",7518,0,2706,9984
"Carnivorous chinchompa",2911,0,2512,9300
"Carnivorous chinchompa",2911,0,2513,9294
"Carnivorous chinchompa",2911,0,2513,9297
"Carnivorous chinchompa",2911,0,2515,9289
"Jungle eagle",1492,0,2516,9322
"Carnivorous chinchompa",2911,0,2518,9302
"Carnivorous chinchompa",2911,0,2518,9305
"Carnivorous chinchompa",2911,0,2519,9292
"Carnivorous chinchompa",2911,0,2520,9288
"Carnivorous chinchompa",2911,0,2520,9298
"Carnivorous chinchompa",2911,0,2523,9302
"Jungle eagle",1492,0,2523,9317
"Carnivorous chinchompa",2911,0,2525,9296
"Carnivorous chinchompa",2911,0,2526,9289
"Carnivorous chinchompa",2911,0,2528,9292
"Carnivorous chinchompa",2911,0,2528,9303
"Carnivorous chinchompa",2911,0,2529,9300
"Fire giant",2080,0,2562,9886
"Fire giant",2079,0,2565,9887
"Arianwyn",4536,0,2565,9905
"Rat",2854,0,2566,9877
"Rat",2854,0,2566,9891
"Fire giant",2078,0,2568,9889
"Rat",2854,0,2568,9898
"Fire giant",2079,0,2569,9886
"Rat",2854,0,2572,9865
"Shadow spider",3016,0,2572,9875
"Fire giant",2079,0,2573,9895
"Shadow spider",3016,0,2574,9876
"Rat",2854,0,2574,9889
"Fire giant",2080,0,2575,9891
"Shadow spider",3016,0,2576,9875
"Shadow spider",3016,0,2576,9877
"Fire giant",2078,0,2577,9890
"Fire giant",2078,0,2577,9897
"Fire giant",2080,0,2578,9895
"Shadow spider",3016,0,2580,9876
"Fire giant",2079,0,2580,9890
"Fire giant",2078,0,2581,9895
"Rat",2854,0,2583,9875
"Rat",2854,0,2584,9896
"Skeleton Mage",84,0,2585,9878
"Skeleton",82,0,2586,9884
"Skeleton Mage",84,0,2588,9880
"Skeleton",82,0,2588,9883
"Skeleton",82,0,2589,9886
"Skeleton Mage",84,0,2590,9882
"Skeleton Mage",84,0,2592,9884
"Arianwyn",4536,0,2603,9904
"Rat",2854,0,2604,9890
"Baxtorian",4009,0,2605,9915
"Rat",2854,0,2606,9897
"Arianwyn",4537,0,2607,9914
"Snow",7383,0,1614,4001
"Snow",7383,0,1614,4008
"Snow",7383,0,1614,4015
"Snow",7383,0,1617,3994
"Snow",7383,0,1618,4020
"Pyromancer",7371,0,1619,3996
"Pyromancer",7371,0,1619,4018
"Snow",7383,0,1623,4023
"Snow",7383,0,1625,3991
"Snow",7383,0,1635,3991
"Snow",7383,0,1637,4023
"Pyromancer",7371,0,1641,3996
"Pyromancer",7371,0,1641,4018
"Snow",7383,0,1642,4020
"Snow",7383,0,1643,3994
"Snow",7383,0,1646,4001
"Snow",7383,0,1646,4008
"Snow",7383,0,1646,4015
"Fire giant",2080,0,2116,9320
"Fire giant",2078,0,2116,9323
"Fire giant",2079,0,2116,9330
"Fire giant",2080,0,2119,9327
"Blue dragon",268,0,2120,9305
"Fire giant",2078,0,2120,9323
"Fire giant",2078,0,2120,9331
"Blue dragon",265,0,2122,9300
"Fire giant",2080,0,2123,9330
"Fire giant",2079,0,2124,9326
"Baby blue dragon",241,0,2125,9306
"Baby blue dragon",242,0,2126,9303
"Blue dragon",268,0,2127,9299
"Blue dragon",266,0,2129,9304
"Baby blue dragon",242,0,2131,9298
"Skeleton",80,0,2131,9322
"Iron dragon",272,0,2148,9293
"Lesser demon",2005,0,2149,9337
"Skeleton",77,0,2150,9298
"Skeleton",79,0,2151,9316
"Lesser demon",2007,0,2152,9332
"Iron dragon",272,0,2153,9290
"Skeleton",78,0,2153,9299
"Lesser demon",2018,0,2155,9335
"Lesser demon",2006,0,2156,9330
"Greater demon",2026,0,2159,9336
"Iron dragon",272,0,2160,9294
"Greater demon",2025,0,2161,9330
"Greater demon",2027,0,2163,9337
"Greater demon",2027,0,2165,9326
"Greater demon",2025,0,2165,9333
"Greater demon",2029,0,2167,9323
"Greater demon",2028,0,2167,9330
"Myre Blamish Snail",2634,0,3456,3417
"Ochre Blamish Snail",2646,0,3456,3418
"Ghast",945,0,3457,3411
"Ghast",945,0,3458,3401
"Myre Blamish Snail",2634,0,3460,3418
"Myre Blamish Snail",2634,0,3460,3424
"Ghast",945,0,3461,3406
"Ghast",945,0,3461,3437
"Ghast",945,0,3462,3399
"Myre Blamish Snail",2634,0,3462,3432
"Myre Blamish Snail",2649,0,3463,3404
"Ghast",945,0,3463,3416
"Ghast",945,0,3463,3425
"Ghast",945,0,3463,3448
"Ghast",945,0,3464,3441
"Ghast",945,0,3466,3433
"Ochre Blamish Snail",2646,0,3467,3404
"Ochre Blamish Snail",2651,0,3467,3409
"Ochre Blamish Snail",2651,0,3467,3410
"Ghast",945,0,3467,3415
"Ghast",945,0,3469,3397
"Myre Blamish Snail",2634,0,3469,3432
"Ghast",945,0,3470,3426
"Myre Blamish Snail",2649,0,3471,3399
"Ochre Blamish Snail",2646,0,3471,3402
"Myre Blamish Snail",2649,0,3472,3415
"Myre Blamish Snail",2649,0,3472,3418
"Ghast",945,0,3472,3420
"Ghast",945,0,3473,3394
"Ghast",945,0,3473,3412
"Ghast",945,0,3475,3401
"Ghast",945,0,3475,3440
"Myre Blamish Snail",2649,0,3477,3419
"Ghast",945,0,3478,3429
"Fishing spot",2653,0,3479,3434
"Ochre Blamish Snail",2651,0,3480,3424
"Ghast",945,0,3481,3406
"Fishing spot",2653,0,3481,3437
"Myre Blamish Snail",2649,0,3481,3439
"Myre Blamish Snail",2649,0,3481,3441
"Myre Blamish Snail",2634,0,3481,3442
"Ghast",945,0,3482,3419
"Fishing spot",2653,0,3482,3430
"Ghast",945,0,3482,3431
"Myre Blamish Snail",2634,0,3482,3444
"Ochre Blamish Snail",2646,0,3483,3440
"Myre Blamish Snail",2634,0,3483,3445
"Fishing spot",2653,0,3483,3449
"Ochre Blamish Snail",2651,0,3484,3442
"Ghast",945,0,3485,3436
"Bruise Blamish Snail",2652,0,3485,3441
"Ochre Blamish Snail",2646,0,3485,3443
"Ghast",945,0,3485,3451
"Ghast",945,0,3486,3399
"Ghast",945,0,3486,3407
"Bruise Blamish Snail",2647,0,3486,3440
"Blood Blamish Snail",2650,0,3486,3442
"Ghast",945,0,3487,3423
"Ghast",945,0,3490,3395
"Fishing spot",2653,0,3490,3444
"Ghast",945,0,3490,3446
"Ghast",945,0,3491,3430
"Ghast",945,0,3492,3405
"Myre Blamish Snail",2634,0,3493,3393
"Bark Blamish Snail",2648,0,3495,3418
"Ghast",945,0,3495,3439
"Ghast",945,0,3496,3395
"Ochre Blamish Snail",2646,0,3496,3421
"Blood Blamish Snail",2650,0,3496,3444
"Ghast",945,0,3497,3409
"Ghast",945,0,3497,3417
"Bark Blamish Snail",2648,0,3498,3420
"Ghast",945,0,3498,3452
"Myre Blamish Snail",2634,0,3499,3394
"Ghast",945,0,3499,3446
"Ghast",945,0,3500,3422
"Myre Blamish Snail",2634,0,3500,3425
"Ghast",945,0,3501,3403
"Myre Blamish Snail",2634,0,3502,3425
"Myre Blamish Snail",2634,0,3504,3404
"Myre Blamish Snail",2634,0,3504,3422
"Ochre Blamish Snail",2646,0,3504,3424
"Ochre Blamish Snail",2646,0,3505,3418
"Bark Blamish Snail",2648,0,3505,3433
"Myre Blamish Snail",2634,0,3506,3420
"Ghast",945,0,3507,3428
"Ghast",945,0,3508,3393
"Ghast",945,0,3508,3400
"Curpile Fyod",8295,0,3508,3440
"Ghast",945,0,3509,3421
"Bark Blamish Snail",2648,0,3510,3435
"Myre Blamish Snail",2634,0,3511,3393
"Ghast",945,0,3511,3397
"Ghast",945,0,3511,3408
"Ghast",945,0,3514,3418
"Ghast",945,0,3515,3414
"Ghast",945,0,3516,3404
"Myre Blamish Snail",2634,0,3516,3409
"Ghast",945,0,3516,3448
"Bruise Blamish Snail",2647,0,3517,3437
"Ghast",945,0,3518,3399
"Ghast",945,0,3518,3417
"Ghast",945,0,3518,3428
"Blood Blamish Snail",2645,0,3519,3439
"Man",3652,0,2948,3146
"Gull",4735,0,2969,3146
"A pile of broken glass",2591,0,2981,3190
"Skippy",3230,0,2983,3196
"Fishing spot",1523,0,2986,3176
"Gull",4734,0,2994,3138
"Giant rat",2859,0,2995,3191
"Fishing spot",1523,0,2996,3158
"Giant rat",2860,0,2999,3194
"Thurgo",4733,0,3001,3144
"Customs officer",3648,0,2953,3147
"Trader Crewmember",1333,0,2954,3156
"Trader Crewmember",1331,0,2954,3157
"Baby Mole",5780,0,1737,5156
"Baby Mole",5780,0,1739,5177
"Baby Mole",5782,0,1742,5163
"Baby Mole",5782,0,1746,5152
"Baby Mole",5782,0,1746,5171
"Baby Mole",5781,0,1756,5181
"Baby Mole",5781,0,1760,5152
"Baby Mole",5782,0,1762,5182
"Baby Mole",5780,0,1765,5178
"Baby Mole",5782,0,1770,5174
"Baby Mole",5781,0,1780,5180
"Baby Mole",5781,0,1781,5152
"Baby Mole",5780,0,1756,5164
"Baby Mole",5780,0,1761,5161
"Baby Mole",5782,0,1764,5164
"Baby Mole",5781,0,1779,5165
"Fossil Rock",7800,0,3800,3752
"Crab",1553,0,3801,3754
"Fossil Rock",7800,0,3802,3756
"Fossil Rock",7800,0,3806,3755
"Crab",1553,0,3817,3755
"Fossil Rock",7800,0,3817,3760
"Bartender",1310,0,3277,3488
"Black Knight",516,0,3277,3505
"Woman",3112,0,3278,3502
"Woman",3015,0,3279,3496
"Man",3108,0,3283,3501
"Cook",2896,0,3285,3489
"Thief",3252,0,3285,3501
"Assistant Serf",4732,0,3298,3483
"Crate",3499,0,3298,3514
"Sawmill operator",3101,0,3302,3492
"Crate",3499,0,3303,3506
"Crate",3499,0,3305,3500
"Crate",3499,0,3307,3507
"Crate",3499,0,3310,3499
"Crate",3499,0,3315,3515
"Man",3014,1,3277,3495
"Johnathon",4988,1,3279,3503
"Anna Jones",4162,0,3285,3468
"Bench",4178,0,3285,3469
"Gertrude's cat",3497,1,3306,3512
"Troll father",1969,2,2825,3807
"Troll mother",1970,2,2825,3811
"Ice wolf",645,0,2761,3863
"Ice wolf",646,0,2764,3858
"Ice wolf",645,0,2769,3854
"Ice wolf",646,0,2769,3861
"Brambickle",2551,0,2786,3862
"Mountain goat",4146,0,2798,3842
"Ice wolf",646,0,2800,3859
"Mountain goat",4145,0,2802,3841
"Ice wolf",646,0,2803,3864
"Mountain goat",4147,0,2804,3843
"Ice wolf",645,0,2805,3859
"Mountain goat",4145,0,2807,3843
"Iceberg",5818,0,2820,3985
"Iceberg",5817,0,2824,4002
"Iceberg",5817,0,2826,3978
"Iceberg",5818,0,2826,4004
"Iceberg",5817,0,2826,4009
"Iceberg",5817,0,2829,3973
"Iceberg",5818,0,2829,3975
"Iceberg",5817,0,2831,3990
"Iceberg",5817,0,2832,3978
"Iceberg",5818,0,2833,3992
"Iceberg",5817,0,2836,3994
"Iceberg",5817,0,2837,3970
"Iceberg",5818,0,2839,3971
"Iceberg",5817,0,2840,3974
"Iceberg",5817,0,2842,3985
"Iceberg",5817,0,2844,4005
"Iceberg",5817,0,2845,3971
"Iceberg",5818,0,2845,3984
"Iceberg",5818,0,2845,4006
"Iceberg",5817,0,2848,3975
"Iceberg",5817,0,2848,3982
"My Arm",8414,0,2851,3968
"Iceberg",5817,0,2851,3971
"Iceberg",5818,0,2852,3980
"Iceberg",5817,0,2852,3992
"Iceberg",5817,0,2856,3973
"Iceberg",5818,0,2858,3993
"Iceberg",5817,0,2859,3996
"Iceberg",5817,0,2860,3977
"Iceberg",5817,0,2860,3983
"Iceberg",5817,0,2860,4012
"Iceberg",5818,0,2861,3979
"Iceberg",5817,0,2863,3971
"Iceberg",5817,0,2869,3968
"Iceberg",5817,0,2869,3975
"Iceberg",5817,0,2869,3990
"Iceberg",5818,0,2869,3993
"Iceberg",5817,0,2872,4005
"Iceberg",5817,0,2878,3976
"Iceberg",5818,0,2878,3979
"Swamp frog",8578,0,1235,3641
"Swamp frog",8578,0,1240,3636
"Swamp frog",8578,0,1241,3647
"Swamp frog",8578,0,1246,3632
"Swamp frog",8578,0,1250,3631
"Swamp frog",8578,0,1259,3637
"Dark beast",4005,0,3158,12427
"Dark beast",4005,0,3161,12422
"Waterfiend",2916,0,3161,12457
"Waterfiend",2916,0,3163,12448
"Waterfiend",2916,0,3163,12454
"Dark beast",4005,0,3165,12431
"Waterfiend",2916,0,3168,12447
"Waterfiend",2916,0,3168,12454
"Dark beast",4005,0,3169,12425
"Waterfiend",2916,0,3170,12451
"Waterfiend",2916,0,3172,12474
"Waterfiend",2916,0,3174,12475
"Waterfiend",2916,0,3175,12471
"Waterfiend",2916,0,3178,12469
"Waterfiend",2916,0,3179,12475
"Waterfiend",2916,0,3182,12476
